,title,rate,description
11,발토,9.7,알라스카 허름 부두 가다 부숴진 하다 있다 발토 살아가다 안식처 이다 발토 용맹 스럽다 착하다 단지 늑대개 라는 이유 마을 사람 물론 동료 로부터 따돌림 당하다 살아가다 유일하다 친구 러시안 거위 보리스 아저씨 겁쟁이 북극곰 형제 머크 루크 그리고 예쁘다 여자친구 제나 이다 그렇다 평화롭다 마을 웃다 겨울 찾아오다 유행병 마을 어린이 순식간 전염 시키다 제니 주인 로지 유행병 으로 앓다 눕다 되다 한편 마을 에서는 약품 수송 위해 비행기 기차 모든 운송 수단 동원 하다 알라스카 매다 눈보라 에서는 속수무책 이다 최후 수단 으로 약품 수송 썰매 파견 하다 하다 썰매 이끌다 튼튼하다 선발 하다 대회 개최 하다 경주 에서 발토 차지 지만 늑대개 라는 이유 제외 시키다 발토 증오 하다 스틸 리더 썰매 보내다 그러나 돌아오다 약품 싣다 오다 스틸 썰매 심하다 눈보라 에서 잃어버리다 약품 타다 기다리다 마을 사람 깊다 절망 빠지다 발토 유일하다 여자친구 제나 병들다 눕다 있다 주인 로지 몹시 걱정 하고 있다 모습 에서 지켜보다 그리고 약품 썰매 찾아오다 결심 하고 마일 넘다 알라스카 험난하다 산기슭 달다
12,오 마이 파파,9.7,한국 이름 재건 시오 신부 년대 한국 전쟁 상처 가난하다 부산 정착 하다 가난하다 돌보다 위해 마리아 수녀 창설 하다 그리고 거리 아이 강제 수용 하다 영화숙 인수 하다 소년 이후 아이 시오 신부 신부 이라고 부르다 아버지 처럼 따르다 가난하다 살다 보다 가난하다 같다 파장 머물다 있다 시오 신부 부금 생기다 마다 소년 운영 위해 아낌없이 사용 하다 본인 스스로 가난하다 살기 자처 하다 마리아 수녀 수녀 수십 이나 손수 꿰매다 드리다 신부 낡다 닳다 의복 구두 가난하다 아버지 시오 신부 의지 비추다 줍다
13,상은: 너에게 중독되다,9.7,세상 재미 느끼다 하고 살아가다 부잣집 도련님 하이 가난하다 전교 상위 놓치다 않다 모범생 이루 같다 학교 같다 다니다 되다 기이하다 인연 으로 서로 에게 이고 운명 시간 지나다 서로 에게 다른 감정 싹트다 되다
14,킬러파티 (양수리 살인사건),9.7,킬러 파티 양수리 살인 사건 에피소드 신망 높다 양수리 파출소 국민 경찰 순경 형사 집안일 마치 자신 회고록 작성 하다 시작 과거 기억 으로 돌아가다 양수리 하다 극장 연출가 정관 저택 에서부터 시작 정관 노래 흥얼거리다 저녁 파티 준비 하다 자신 쓸다 새롭다 작품 출연 배우 으로 초대 하다 초대 되다 배우 모두 각자 역할 차려 입다 정관 저택 으로 모이다 정관 새롭다 쓸다 작품 선상 보트 에서 일어나다 살인 사건 다루다 있다 인생 걸작 써다 자부 하다 한껏 나다 배우 각자 한마디 작품 역할 대해 이야기 하다 갑자기 꺼지다 비명 소리 들리다 켜다 정관 수프 접시 고개 떨구다 쓰러지다 사람 자신 쓸다 작품 맞다 연기 하다 지만 이내 의식 없다 발견 하다 과연 살인자 누구 이다
15,나부야 나부야,9.7,경남 하동군 화개면 마을 함께 하다 노부 부가 산다 할아버지 거동 불편하다 할머니 위해 음식 부터 빨래 까지 모든 집안일 솔선수범 하다 애처 가다 한시 세상 하직 하다 그렇게 약속 하다 얄궂 이별 찾아오다
16,아이들,9.7,태준 실수 진욱 밟다 뜨다 린다 미안하다 마음 때문 인지 태준 진욱 에게 관심 보이 함께 만들다 되다 친해지다 되다 태준 친구 범석 어떠하다 연유 선지 진욱 사이 좋다 태준 진욱 범석 영화 아이 이야기 이다 연출 의도 문득 무미건조하다 학창시절 보내다 않다 이라는 생각 계기 되어다 지극히 찬란하다 암울하다 않다 젊다 이야기 구상 하다 되어다 관계 에서 이루어지다 무수 내면 변화 단조 롭고 밋밋하다 젊다 이야기 통해 표현 해보다 노력 하다 영화제 소개 십대 활기차다 에너지 넘치다 남자 고등학교 싸움 깨나 하다 친구 어울리다 쾌활하다 생활 하다 태준 어느 밟다 뜨다 말다 그리고 그것 친구 로부터 왕따 당하다 같다 학생 진욱 것임 에게 사과 하지만 진욱 반응 냉담하다 하다 그렇다 진욱 에게 오히려 호기심 느끼다 태준 에게 접근 하다 친해지다 노력 하다 그러자 그동안 태준 단짝 처럼 지내다 친구 범석 태준 자신 멀리 하고 괴상하다 녀석 어울리다 모습 차다 없다 진욱 보다 기회 만을 노리다 자다 짜이다 드라마 십대 소년 자연스럽다 연기 인상 아이 무엇 보다도 캐릭터 매력 십대 소년 사이 긴장 유머 묘사 하다 상황 연출 돋보이다 작품 이다 아이 에게 괴짜 취급 당하다 만들기 에만 몰두하다 진욱 캐릭터 끝내 의뭉스럽다 능청 스럽지 깊다 태준 캐릭터 자연스럽다 연기 더불다 영화 가장 매력 요소 이기도 하다 흔하다 학교 배경 으로만 묘사 되다 친구 사이 질시 애정 관계 서로 다른 개성 지니다 명의 소년 중심 으로 탄탄하다 드라마 더불다 자다 연출 되어다 있다 답답하다 학교 풍경 대비 되어다 멋지다 롱숏 으로 잡아내다 학교 로케이션 촬영 인상 작품 이다 전주 국제 영화제 정지연 프리부르 국제 영화제 경쟁 부문 스위스 대한민국 대학 영화제 국제 대학생 평화 영화제 관객 수상 이다 판다 국제 단편 영화제 홍콩 제주 영화제 시네마 디지털 서울 충무로 국제 영화제 미장센단편영화제 장르 상상력 경쟁 부문 서울 국제 청소년 영화제 서울 국제 영화제 국제 경쟁 부문 이다 포럼 전주 국제 영화제 한국 단편 선택 비평가 주간 심사 위원
17,저 달이 차기 전에,9.7,여름 쌍용 자동차 파업 후반 동안 대립 하고 있다 노조 긴박하다 당시 기록 다큐멘터리 중국 상하이자동차 대명사 불리다 쌍용 자동차 인수 노조 시민사회단체 반대 에도 불구 하고 쌍용차 헐값 으로 매각 돼다 그러나 상하이차 우량 기업 이던 쌍용차 불과 만에 껍데기 남기다 놨다 인수 이후 하다 기술 개발 투자 하다 않다 이다 엎친데덮친 으로 글로벌 수요 감소 직격탄 맞다 쌍용차 자금난 가시 되다 평택 공장 생산 라인 가동 중단 하다 법정관리 신청 쌍용차 법정관리 신청 받아들이다 법정관리 으로 박영태 쌍용차 기획 재무 부본 부장 유일 현대차 사장 공동 선임 돼다 해도 노동자 조속 정상화 되다 이라는 대감 가지 있다 그러나 법원 쌍용차 대한 강도 구조조정 요구 하다 측은 쌍용차 인원 해당 하다 인력 감축 발표 하다 노조 에서 고용 유지 방안 으로 근로 형태 야간 시간 교대 형태 운영 하고 주간 연속 교대 도입 하다 제안 하다 받아들이다 않다 측은 예정 대로 희망 퇴직 정리해고 절차 돌입 하다 노조 찬성 으로 쟁의 행위 가결 총파업 포함 모든 방법 총동원 하다 구조조정 저지 하다 각오 다지다 측은 지방 노동청 정리해고 계획 신고 하고 정리해고 강행 하다 함께 살다 늘다 노동자 절규 받아들이다 않다 노조 평택 공장 으로 결집 정문 봉쇄 하다 측은 직장폐쇄 단행 하다 쌍용차 해고 대상자 에게 우편 으로 해고 통보 하고 다음 정리해고 법적 효력 발생 하다 이후 공권력 투입 하다 밝히다 분노하다 노동자 공권력 침탈 대비 하다 무장 하다 한편 정부 공적자금 투입 하다 사태 해결 나서다 끊임없다 촉구 하다 용역 업체 앞세우다 측은 지속 으로 공장 진입 시도 하고 관리직 해고자 동참 시키다 막다 농성 노동자 용역 업체 직원 폭력 사태 대치 상황 연일 이어지다 경찰 공장 완전하다 봉쇄 하고 외부 출입 막다 음식물 반입 차단 식수 반입 차단 의료 진입 차단 이뤄지다 달이 차기 늘다 경찰 공장 완전하다 봉쇄 이후 최악 상황 에서 매일 전쟁 같다 하루 보내다 쌍용 자동차 노동자 치열하다 투쟁 에서의 그리고 이렇게 처절하다 싸움 벌이다 밖에 없다 공장 잠입 통해 직접 촬영 내용 기반 으로 제작 돼다
18,아빠가 필요해,9.7,직업 소설가 늑대 위대하다 작품 쓰기 위해 한적하다 시골 내려오다 쓰기 시작 그런데 오다 어느 하다 여자 여섯 영희 데리 늑대 찾아오다 영희 늑대 아빠 늑대 깜짝 놀라다 여자 영희 놓다 가버리다 이렇게 하다 소설가 늑대 여섯 여자아이 영희 아빠 되다 위대하다 소설 영희 키우다 어느 중요하다 이다 늑대 혼란 스럽다 연출 의도 소설 쓰다 늑대 여섯 여자아이 와의 따다 감정 표현 하고 싶다 세인트 킬다 영화제 특별 부문 호주 뉴욕 국제 아동 영화제 관객 수상 미국 애니 메이티 엑서터 영화제 해외 베스트 애니메이션 부문 영국 탐페레 국제 단편 영화제 한국영 특별 핀란드 프로젝터 애니메이션 영화제 영국 프레 국제 비디오아트 단편 영화제 태국 인터 필름 베를린 국제 단편 영화제 한국 포커스 부문 독일 서울 국제 가족 영상 축제 초청 상영 빌바오 국제 다큐멘터리 단편 영화제 히로시마 애니메이션 영화제 수상작 특별 스페인 프레드릭 스타 애니메이션 영화제 노르웨이 샌프란시스코 국제 애니메이션 영화제 미국 카툰 애니메이션 영화제 러시아 크다 국제 애니메이션 영화제 경쟁 부문 우크라이나 판토체 국제 애니메이션 영화제 월드 와이드 히츠 부문 스위스 플랫폼 국제 애니메이션 영화제 경쟁 부문 미국 이다 리스보아 리스본 국제 독립 영화제 이다 주니어 부문 포르투갈 스투트가르트 국제 애니메이션 영화제 최고 애니메이션 부문 독일 홍콩 독립 단편 비다 어워즈 특별 부문 홍콩 플리커 페스트 호주 국제 단편 영화제 경쟁 부문 호주 홀랜드 애니메이션 영화제 무비 스쿼드 수상 네덜란드 라이프찌히 국제 다큐멘터리 애니메이션 영화제 국제 파노라마 부문 독일 바이 바덴 국제 애니메이션 주간 독일 애니마드리드 마드리드 국제 애니메이션 영화제 경쟁 부문 스페인 부산 국제 어린이 영화제 단편 부문 오덴 국제 영화제 덴마크 동아 국제 만화 공모전 애니메이션 부문 장려상 브래드포드 애니메이션 영화제 특별 영국 시그라프 특별 미국 크다 국제 애니메이션 영화제 특별 우크라이나 이다 판다 국제 단편 영화제 홍콩 파리 시네마 영화제 프랑스 히로시마 국제 애니메이션 영화제 히로시마 수상 일본 서울 영화제 초청 상영 서울 국제 만화 애니메이션 페스티벌 경쟁 부문 애니메이션 콘테스트 작품 일본 자그레브 국제 애니메이션 영화제 일반 경쟁 부문 크로아티아 도쿄 아니다 페어 우수상 일본 탐페레 국제 단편 영화제 국제 경쟁 부문 핀란드 인디애니페스트 관객 아시아 인디영화 서울 독립 영화제 경쟁 부문 대한민국 애니메이션 대상 특별상
19,극장판 은혼 신역홍앵편,9.7,인기 절정 은혼 시리즈 최초 극장판 도의 거리 에서 다발 으로 일어나고 있다 연쇄 살인 사건 카츠 라가 말리 되다 엘리자베스 피로 물든 카츠 소지품 가지 해결사 사무소 방문 하고 사연 되다 카구라 신파 치다 카츠 행방 찾다 나서다
20,할머니의 먼 집,9.6,아흔 사랑 하다 할머니 자살 시도 하다 취업 준비 하다 보내다 어느 가족 이자 오랜 친구 할머니 멀다 으로 떠나다 하다 소식 듣다 되다 아직 할머니 보내다 없다 에서 지키다 하다 할머니 죽다 나다 본디 괜찮다 무섭다 할머니 가장 먼저 찾다 아이 할머니 해주다 옛날 이야기 가장 좋아하다 아이 이제 훌쩍 자라다 어느새다 작아지다 할머니 기억 하다 준비 시작 할머니 영화 열심히 니까 보고 돌아가다 돌아가다 돼다
